"version_label","file_url","is_active","notes","uploaded_date","order","status","id","created_date","updated_date","created_by_id","is_sample"
"High School One Page Resume","https://media.base44.com/files/public/6a4736c352c574e239e79508/3441d2169_Jenisha_s_Resume_-_2025_26_-_v1.pdf","false","","2026-07-04T04:00:00.000Z","0","active","6a4a096ecc1d3f1ca52f34b9","2026-07-05T07:36:14.036000","2026-07-05T07:36:14.036000","6a4736c352c574e239e79509","false"
"Condesded Resume","https://media.base44.com/files/public/6a4736c352c574e239e79508/8b525c18b_Jenisha_s_Resume_2026_-_Condensed_V1.pdf","true","","2026-07-05T04:00:00.000Z","0","active","6a4a0945dd76177e1faa0ede","2026-07-05T07:35:33.901000","2026-07-05T07:35:33.901000","6a4736c352c574e239e79509","false"
"Full Resume","https://media.base44.com/files/public/6a4736c352c574e239e79508/94b639635_Jenisha_Patel_-_Resume_2026_V2.pdf","false","","2026-07-04T04:00:00.000Z","0","active","6a4a09167e38842d0e2a1cab","2026-07-05T07:34:46.185000","2026-07-05T07:34:46.185000","6a4736c352c574e239e79509","false"
