"end_date","role","achievements","logo_url","description","tags","website_url","members","name","category","is_current","start_date","order","status","id","created_date","updated_date","created_by_id","is_sample"
"","Board of Directors, Chief Director, Vice Chairwoman (Operations), Deputy Director of Marketing, Marketing Officer","[]","","","[]","","","Brampton FBLC, JEC & TA","Buisness","false","","0","published","6a4a99bc6662bf263b60c74b","2026-07-05T17:51:56.261000","2026-07-05T17:51:56.261000","6a4736c352c574e239e79509","false"
"","Marketing & Communications Specialist (Former Program Volunteer)","[]","","","[]","","","Zebra Robotics","STEM","true","","0","published","6a4a99a401a86b9974e53c5b","2026-07-05T17:51:32.773000","2026-07-05T17:51:32.773000","6a4736c352c574e239e79509","false"
